CID,nnondet_g,nnondet_r,nnondet_i,nnondet_z
1310492,27,28,13,13
1310929,27,18,22,28
1311021,19,28,27,26
1311148,24,24,25,25
1311306,10,24,25,23
1311442,26,25,25,25
1311543,10,25,27,25
1311648,27,28,27,28
1311731,27,14,28,28
1311910,20,10,10,13
1312308,26,25,23,25
1312578,20,20,10,22
1312924,24,32,16,23
1313135,21,28,27,25
1313334,0,2,2,2
1313555,24,25,24,24
1313923,27,22,28,28
1314212,0,1,4,9
1314947,10,6,14,20
1315275,22,24,25,21
1315832,27,14,19,19
1316330,27,27,28,28
1316626,24,15,17,16
1317086,25,25,27,25
1317492,15,13,11,19
1317744,22,22,15,20
1318245,24,25,24,24
1318690,17,19,19,19
1319248,27,28,28,28
1319755,27,17,27,27
1319964,24,14,17,16
1320188,26,19,19,20
1320342,24,25,24,24
1320563,27,27,27,17
1321067,26,0,20,28
1321361,27,20,22,22
1321686,21,8,8,13
1322124,25,25,27,25
1322640,27,28,22,28
1322827,19,24,21,21
1323019,30,31,3,31
1323710,27,27,27,27
1323957,21,23,22,20
1324311,49,13,49,51
1324544,27,21,22,22
1324768,25,23,19,21
1324949,20,18,14,19
1325212,27,25,26,28
1325432,23,24,23,23
1325643,48,47,47,46
1325891,19,13,19,8
1326045,22,22,23,24
1326188,27,27,28,28
1326324,20,20,19,22
1326492,24,24,25,25
1326764,24,24,25,25
1326950,24,24,25,25
1327206,27,26,27,26
1327356,17,21,27,31
1327609,24,27,27,27
1327847,24,25,24,24
1328108,24,24,24,25
1328438,22,23,24,21
1328738,2,0,11,18
1328990,30,29,30,2
1329452,27,27,27,28
1273233,1,1,2,2
1276026,25,25,25,25
1277170,0,0,0,0
1277752,0,0,1,0
1277845,0,0,0,0
1277919,0,0,0,0
1277975,0,0,1,0
1278119,0,0,0,1
1278548,0,1,0,0
1278760,0,2,6,6
1279326,0,0,0,0
1279448,16,5,23,21
1279502,0,0,0,0
1279696,22,23,1,0
1280299,22,23,22,20
1280688,0,0,2,0
1280966,0,0,3,11
1281086,0,0,6,19
1281242,0,0,0,0
1281370,2,2,26,26
1281539,2,2,18,25
1281645,9,18,31,26
1281699,30,30,30,30
1281902,24,25,0,25
1282090,0,0,0,0
1282187,0,1,27,25
1282454,0,0,2,1
1282657,1,13,22,26
1282757,1,1,1,2
1282990,22,0,1,0
1283127,0,0,20,22
1283251,0,8,7,9
1283321,22,1,2,3
1283610,0,0,0,0
1283936,6,5,5,5
1284645,14,0,2,3
1284902,31,4,31,25
1285346,29,27,6,23
1285968,25,2,22,26
1286341,22,2,5,3
1286462,27,12,1,30
1289288,6,5,5,6
1289413,20,13,7,0
1289571,24,23,0,10
1289715,30,12,4,27
1292137,28,28,29,28
1297133,19,21,19,4
1302498,22,17,17,20
1303998,25,29,28,30
1304225,30,30,6,30
1306122,24,25,25,25
1306465,4,5,5,5
1306788,12,7,5,4
1307022,9,7,6,25
1307573,2,27,20,25
1307817,22,26,3,2
1308447,23,23,26,26
1308723,26,25,28,28
1308919,7,3,12,3
1309111,10,18,18,17
1314164,32,32,9,31
1314508,25,5,24,25
1315026,7,2,5,26
1315624,22,26,23,22
1317698,32,5,31,32
1318227,22,23,8,6
1318961,27,7,25,23
1319368,19,7,4,20
1322153,8,8,8,10
1323289,8,4,0,3
1324145,22,23,22,20
1328319,7,25,24,24
1329029,7,24,25,23
1329161,4,5,4,3
1329607,12,8,10,5
1330043,22,20,13,52
1330206,10,11,4,3
1330357,28,28,29,28
1330587,30,27,29,3
1330686,30,9,11,12
1330911,27,24,0,28
1331148,32,32,13,32
1331384,7,7,26,25
1331558,3,2,26,28
1331748,0,21,21,21
1331939,22,23,22,20
1332095,1,1,0,0
1332264,10,28,29,28
1332430,5,7,7,23
1332608,22,23,22,20
1332779,30,29,29,28
1332986,7,22,20,12
1333159,28,14,14,35
1333254,19,7,4,15
1333350,24,25,24,22
1333517,12,21,24,8
1333662,24,25,25,25
1333753,11,17,4,16
1334226,31,7,26,15
1334395,25,23,25,25
1334554,24,25,25,2
1334715,9,22,11,9
1334858,22,13,11,9
1335070,3,3,1,1
1335263,29,28,26,20
1335428,22,18,23,22
1335612,24,25,13,15
1335717,10,14,12,10
1335858,2,13,6,32
1336009,20,20,20,20
1336310,0,0,1,0
1336553,27,16,26,23
1336784,21,13,0,19
1336925,30,18,29,21
1337174,30,31,25,31
1337252,7,15,29,31
1337366,15,20,25,20
1337541,22,26,16,13
1337736,22,16,16,15
1337950,22,17,16,12
1338099,0,2,2,2
1338288,17,18,18,18
1338460,11,23,21,18
1338643,24,24,24,25
1338818,21,20,28,24
1338965,0,0,0,8
1339166,13,17,16,13
1339323,22,23,22,20
1339446,22,23,22,20
1339602,3,5,2,0
1339749,18,23,26,26
1340009,7,6,6,7
1340299,22,24,25,23
1340493,30,21,21,28
1340711,18,24,25,22
1340879,20,22,25,25
1341031,20,28,29,28
1341205,14,8,8,13
1341413,25,25,25,25
1341684,22,23,22,20
1341857,30,24,24,28
1342110,18,18,18,17
1342414,25,24,25,21
1342636,62,48,62,63
1342872,23,21,25,22
1343035,21,21,21,26
1343144,27,32,22,30
1343214,22,26,23,22
1343340,3,28,29,28
1343644,32,32,31,32
1343940,0,25,24,25
1344311,24,22,22,22
1344534,22,25,25,21
1344749,30,30,30,30
1345199,28,24,25,24
1345417,22,24,19,22
1345551,0,30,30,32
1345762,22,23,22,20
1346106,30,30,30,30
1346484,27,26,27,27
1346714,62,63,62,63
1346956,25,25,27,26
1347091,22,26,23,20
1347365,19,22,23,24
1347586,25,26,26,21
1347878,25,21,20,24
1348283,53,52,50,46
1348472,26,2,1,1
1348700,24,23,25,26
1349194,30,23,16,31
1349336,39,41,41,49
1349469,22,23,22,20
1349669,24,0,7,5
1349843,25,23,6,11
1349955,29,29,29,28
1354017,23,9,6,22
1366187,0,0,0,0
1366341,26,0,1,2
1366501,32,2,1,1
1366694,24,23,25,15
1367132,3,18,31,26
1367290,32,2,31,26
1367427,3,7,8,26
1367607,26,30,1,32
1368133,0,0,0,0
1368305,3,3,1,0
1368520,9,5,0,11
1368684,19,21,2,3
1370254,0,1,1,32
1370344,3,3,31,31
1370565,25,25,27,26
1370722,20,14,5,23
1370905,2,31,49,51
1371055,3,0,0,0
1372025,3,3,3,1
1372153,2,1,2,2
1373063,2,2,1,1
1374041,28,15,29,30
1376021,27,24,2,10
1376138,29,2,31,31
1377030,3,3,15,26
1377164,26,30,30,2
1380114,30,31,31,31
1381025,26,2,1,23
1381136,3,2,2,2
1383019,29,25,27,22
1384072,21,17,27,25
1385108,23,0,9,25
1386046,2,1,0,2
1387093,23,12,19,26
1387193,0,18,2,9
1389018,4,31,31,31
1389195,0,7,7,8
1389315,12,13,16,16
1389429,3,12,0,6
1390157,35,34,3,0
1390252,25,6,23,17
1390381,27,27,27,25
1391038,0,1,23,25
1391172,2,8,31,32
1392106,26,24,28,28
1392221,50,9,46,9
1392367,28,30,30,30
1394094,21,15,19,20
1395095,26,3,2,27
1396085,53,52,51,44
1397033,27,0,27,25
1402036,30,31,31,31
1403020,57,13,52,53
1406078,25,29,28,30
1408019,5,24,8,61
1409100,23,23,16,1
1411018,4,18,4,14
1412070,2,2,1,1
1414037,18,4,3,4
1417024,15,4,13,5
1418126,13,5,3,3
1419171,6,5,5,5
1420118,25,24,25,7
1421053,47,48,10,13
1422041,0,8,5,14
1422183,26,24,7,23
1427020,5,8,7,9
1430124,23,16,23,25
1430259,25,26,7,26
1431091,32,6,8,6
1432017,6,6,6,6
1432082,8,9,9,9
1432230,25,25,28,28
1433053,30,32,31,7
1433232,26,8,30,32
1434068,21,1,2,2
1434206,2,0,2,6
1435055,30,30,18,21
1436024,26,20,22,22
1440030,1,8,6,4
1441038,30,31,31,31
1442085,27,8,8,28
1444028,9,9,10,11
1445052,21,5,0,5
1447074,23,26,25,26
1447171,29,6,15,0
1448097,30,32,31,32
1449115,32,12,8,9
1450112,32,21,22,26
1451132,11,14,9,11
1454051,61,63,63,63
1455069,26,27,0,0
1457019,26,8,7,9
1458029,7,30,29,0
1461070,23,26,23,26
1467024,30,30,1,0
1468068,10,29,31,26
1470066,9,9,9,15
1473039,29,32,31,32
1479102,28,30,9,30
1482038,25,5,28,30
1484092,28,30,9,7
1487031,30,31,8,8
1488100,26,23,25,23
1492059,28,28,29,28
1500096,26,30,30,32
1501095,32,29,15,13
1502082,32,29,31,10
1504047,31,31,31,31
1506020,30,11,2,29
1512054,14,25,5,15
1513052,25,0,27,26
1515094,6,3,3,1
1518039,28,30,30,30
1522070,18,19,26,28
1528034,27,11,12,28
1530120,13,17,19,21
1531093,0,6,23,25
1533038,15,1,12,21
1533217,28,30,10,30
1536100,6,3,6,5
1538023,35,33,20,7
1544023,31,9,31,31
1547139,27,25,26,28
1549124,63,37,63,59
1551098,30,32,31,32
1553030,28,30,12,30
1559041,5,12,0,4
1559170,14,16,21,26
1560126,25,26,26,26
1562061,30,16,31,32
1562179,24,23,25,25
1565044,25,17,25,26
1567062,15,24,25,23
1569032,26,25,25,30
1574027,22,21,21,23
1575061,25,29,28,30
1577038,28,17,22,30
1578089,6,27,27,28
1579138,18,34,36,36
1585025,10,5,9,12
1589033,12,10,20,26
1590027,13,30,30,30
1591018,35,20,36,36
1593044,15,20,28,30
1595065,25,25,27,22
1596028,23,23,23,25
1599041,30,4,31,31
1604029,27,27,5,27
1611020,26,30,30,32
1614024,26,9,25,32
1617030,32,20,20,17
1620029,25,22,25,25
1622050,24,22,11,25
1626031,28,30,21,30
1631021,7,30,30,32
1635020,27,25,23,19
1636077,29,25,2,0
1638053,32,29,31,26
1639124,32,29,31,26
1641051,9,6,12,26
1641205,25,22,21,30
1642019,28,30,30,30
1643054,22,24,29,30
1643263,1,1,1,1
1644018,22,25,30,30
1644217,27,27,27,22
1645067,26,25,24,28
1645234,26,19,7,15
1646056,30,26,26,31
1648076,26,24,30,32
1651053,10,10,18,30
1652181,32,29,31,26
1653045,23,26,25,13
1653203,25,24,13,22
1654150,25,25,24,27
1655173,35,34,36,36
1656082,28,30,23,30
1657066,30,31,31,31
1659022,21,23,22,21
1660146,19,25,26,28
1662150,27,26,7,3
1663173,1,62,57,54
1669022,23,23,23,25
1673069,31,19,31,31
1674126,27,28,27,25
1676126,23,26,24,26
1682040,30,31,31,31
1691022,31,9,31,31
1698042,25,26,27,26
1700044,31,31,14,31
1701132,26,23,25,23
1702083,26,28,27,28
1704027,32,29,31,26
1706029,25,25,25,25
1707070,25,29,28,30
1710053,26,23,23,23
1714031,31,31,31,31
1719050,32,26,28,26
1723033,32,31,34,33
1729048,26,24,24,23
1732073,24,5,24,23
1735037,31,28,30,24
1740037,32,29,31,26
1749031,32,29,30,26
1756052,27,19,4,1
1770225,27,0,25,22
1770312,25,25,25,0
1770405,21,1,23,2
1770687,23,26,25,26
1770831,27,28,27,24
1773131,23,13,16,24
1773210,27,0,25,21
1773329,23,23,14,25
1775038,2,2,2,51
1776192,23,0,0,26
1776364,0,0,0,0
1777211,23,26,0,25
1778046,58,58,57,55
1780086,27,23,25,22
1780160,23,23,23,25
1780222,2,2,20,25
1780359,26,30,30,32
1781047,30,1,1,1
1783052,49,13,49,51
1784042,23,23,23,25
1785058,18,22,25,25
1787035,27,15,14,25
1790103,23,12,6,14
1791043,0,1,3,4
1791160,26,25,20,13
1794036,25,26,27,26
1797044,6,5,3,4
1810031,23,23,23,25
1810128,20,18,20,23
1811027,23,23,23,25
1811118,6,6,30,6
1812071,49,49,49,51
1813143,0,31,31,31
1815043,31,31,31,31
1817209,27,28,27,25
1817343,30,28,23,28
1829065,25,26,23,26
1833055,23,23,23,25
1833279,4,22,25,25
1834044,30,18,31,30
1835104,30,10,30,14
1838095,31,31,24,31
1840070,27,23,19,22
1847052,25,5,27,26
1847233,25,5,27,26
1848033,23,26,5,26
1848174,24,19,22,10
1848304,24,23,25,22
1849029,24,23,25,25
1849163,5,6,27,26
1849303,47,10,8,8
1850092,23,9,6,31
1850179,26,25,28,28
1850323,23,8,25,26
1851051,13,14,13,25
1851105,5,3,6,14
1851173,27,28,27,25
1852062,6,6,9,25
1852146,27,28,27,25
1854041,26,25,28,28
1856035,24,23,5,25
1860126,23,26,25,26
1861142,23,0,25,26
1861214,30,29,30,29
1861330,25,26,7,26
1861457,7,6,6,12
1862115,23,26,24,25
1862200,0,25,26,22
1862288,27,28,7,5
1863028,2,24,24,28
1864035,27,7,7,24
1866031,43,4,39,45
1868074,12,25,27,28
1871084,12,6,7,8
1872172,27,23,25,22
1876161,22,24,25,23
1876299,30,10,31,31
1876453,25,26,27,26
1876564,24,23,25,25
1876642,26,15,12,28
1876728,15,9,31,31
1878161,0,0,0,0
1878288,30,28,30,29
1878396,25,22,26,26
1878529,0,0,0,0
1878603,25,6,25,25
1878678,27,23,25,22
1878758,27,23,25,22
1879292,2,0,0,2
1879446,24,23,25,25
1879572,10,0,5,15
1879662,27,28,27,25
1880217,59,60,59,57
1880344,24,23,25,25
1880482,7,8,10,13
1880592,25,22,27,20
1880655,23,26,25,26
1881036,27,28,27,25
1881130,25,25,25,25
1881227,23,16,25,26
1881291,31,22,31,31
1881385,27,23,25,22
1882097,24,10,25,25
1882194,25,6,9,26
1883064,14,23,25,25
1883163,15,26,27,25
1883232,10,28,27,25
1883301,28,28,29,28
1886027,4,1,0,2
1886121,27,23,25,22
1888042,49,49,49,51
1889078,23,23,23,24
1889155,27,8,11,12
1889246,31,31,31,31
1890094,5,23,24,25
1890183,14,26,25,24
1891043,25,25,27,25
1891134,24,0,0,24
1891238,18,13,14,19
1892065,24,23,10,15
1892152,23,25,25,26
1892233,59,60,56,52
1894031,23,23,23,25
1894131,25,17,27,26
1894223,31,31,17,31
1894303,30,29,30,12
1895078,0,0,0,0
1895173,9,23,25,25
1895242,24,23,24,25
1896044,25,25,25,25
1896125,24,23,25,25
1896202,24,58,58,55
1897024,23,23,23,25
1897093,26,25,28,28
1897174,28,30,30,30
1897253,31,17,31,31
1898029,0,0,0,0
1898113,25,25,27,26
1898256,7,1,2,24
1899048,12,25,25,25
1899110,26,25,28,28
1899175,25,26,27,26
1899297,27,23,25,22
1899442,13,14,12,14
1900117,15,15,21,26
1900228,0,0,0,0
1900662,16,14,15,17
1900757,28,30,30,30
1900888,7,34,36,36
1901037,25,22,25,25
1901114,25,22,27,26
1901232,23,26,24,26
1901693,25,25,25,25
1901777,26,25,28,28
1901861,10,23,9,25
1901954,3,32,31,15
1904053,3,1,0,13
1904126,26,25,28,28
1904215,23,26,25,26
1904287,27,15,14,15
1904376,23,26,25,26
1905018,25,15,15,15
1905108,30,31,31,27
1905206,14,23,25,25
1905281,27,23,16,22
