CID,minmag_g,minmag_r,minmag_i,minmag_z
1261915,23.69519438779125,24.297416581880682,22.815202460642354,22.752364830004574
1262132,23.317332479674626,23.186854834100096,21.40040559779576,23.030038927519485
1262264,21.401786715835,21.387469280280104,22.65644350611387,21.909538892799624
1262515,22.672042071511843,23.562723632062017,22.94359915764327,21.60554390942145
1262709,24.14527661071425,24.522211194049234,24.384800396940584,24.30180248023344
1262814,23.94940904882528,23.827397359137105,24.597104269484543,24.241469823508144
1263108,23.88867797170716,24.03170343828584,24.177319273113174,23.24726787359705
1263318,23.401283776828535,23.179826072101097,23.057611761586198,22.01830265116365
1263577,23.259567886892142,23.336680857841454,22.264958297198945,22.733946886116826
1263787,22.336610996775086,22.362127775276512,22.90631300046735,22.34844423922511
1263901,23.16656540763823,22.7800991875505,21.989157310929613,22.447957782427732
1264083,23.875417261833178,22.24340129077175,22.94618342725869,22.661508972852904
1264539,24.913328610414396,24.098658463541764,23.812202772180832,23.139169732526582
1264727,22.09224571239006,23.66376074291115,23.188573095154293,22.65293793766525
1265135,24.400500453882252,23.48601021189804,24.112904861038402,23.576828644055976
1265353,23.44324773488528,23.105125169101512,23.08303871125535,23.167087116445764
1265521,23.440275202381898,23.464471245894465,23.68253732860001,23.75805629990247
1265818,22.62277409073389,22.66615524507074,22.559354376857385,22.304401865475835
1266041,24.053914394844803,23.997102002440528,22.91536395873706,21.510635925019578
1266303,22.46181023329531,22.960176107558205,22.75524531432943,22.462544228536295
1266512,22.350996800593116,22.323058842891413,22.09927896717178,23.0198791973531
1266734,22.43346258016331,23.361193509366455,23.085363131335527,22.440840204505516
1266965,22.8477631386059,22.715319731269215,22.781055201207558,22.874809514282013
1267220,24.144436926598026,23.23101069479795,24.14300602135158,22.524263884678902
1267450,24.263834434596017,23.244397694824272,24.03406475228629,22.49048731608744
1267800,22.738332832612564,22.75424313635247,22.644992275928892,22.462963877282366
1272954,22.642847715191195,22.838529492470588,23.00691773321013,22.447233578919693
1273034,22.401663028154786,22.51668502629705,22.593129866603398,21.68539017926677
1273153,21.894889401576123,21.280034172176517,20.43576951052381,23.4649728565316
1273239,20.559536890686203,21.938537865671172,21.581889822161937,22.003013749561003
1273313,23.562492501416173,23.171350431340358,23.40053696753295,23.320125030412747
1273430,20.292835200695926,20.65628288711638,20.223345623813064,21.422033016705
1273654,23.729315549611606,23.069562597938464,22.106358079664435,21.761962190334252
1273795,21.96753453815833,22.676324959556275,21.847676041175188,21.633579719713328
1274014,21.714173043697826,20.665202122469022,21.3716854787762,21.459605775919538
1274152,22.884513003499517,23.361481541256925,21.93440270731004,22.63504905819703
1274248,22.720162718392405,23.791031757577766,22.3605033511688,21.248482694835033
1274339,21.38653444241959,23.96181522661778,23.099226572067284,23.07532024071606
1274518,21.62982225230028,21.3559007154258,28.12197550964407,20.109098615816695
1274647,22.354599491270427,23.242201634409806,21.439593350062793,23.052217822294402
1274740,23.03308596364053,23.658887989627303,23.524512129215324,23.481952384838984
1274859,22.68000950138766,22.174889644280988,21.225414978667594,21.626563314489875
1275109,22.505627816652602,22.214223307828938,22.120656297403706,22.19053417846157
1275316,22.768344611918707,22.001915173657746,23.318647084015048,22.991715767881413
1275422,20.93952689035061,20.549458826974433,20.53649743751903,22.65940701539997
1275471,20.715266076307977,19.510873443989535,19.199166843454037,22.617425954280833
1275523,20.925202411241145,20.429526841688173,21.675437889217704,23.196999096519875
1275692,21.126939915987904,19.172393909265544,19.206565592743672,19.251940191583543
1275915,21.485780533318056,21.73109946344566,23.28153436562012,20.403097589810997
1276336,23.596650146352747,23.595666811037717,22.060930589082048,22.845193665795637
1276684,21.504108171550616,20.164878064419266,20.898274783233376,21.872182537555318
1276943,20.48117934173847,19.600706134549462,20.639874158874058,22.09097859142237
1277257,22.894397671126463,21.90112569789882,20.64161762147611,22.60454625608763
1277621,24.19326327423281,22.452313177055252,22.885612028714547,23.26524314733485
1278429,22.88941300525675,23.018530554461712,23.0004429225167,23.0371738976052
1278929,23.657941291719776,23.076261286575004,22.364904473287826,22.472660838239037
1279196,23.371708028599528,22.177064742580583,23.476067331378335,23.736311057257378
1279946,20.577609694661746,21.10779706405061,22.18768030222367,23.602868720753857
1280123,23.283342308159344,21.30944303987354,23.13503068891707,23.194732035797493
1280491,23.21191426009419,23.24592895138315,23.243406764706105,21.3789685762248
1280682,23.139678439039955,23.00380500484004,21.999721350940497,21.683136551086697
1280938,23.282739326079557,22.13003669829049,22.768511442927753,22.582558367242267
1281321,23.454095172225305,23.747625881863627,22.82516147338285,22.399780391325297
1281952,23.059736863867382,22.79996790408307,22.671215483357706,21.127982684096132
1282383,23.03484366623236,24.23732054244427,22.02901482184643,21.18719353960438
1282626,23.05057600647214,23.28146746256654,23.327847605955164,22.604498437884775
1283111,22.32361246041242,22.59073107534269,22.666788069128263,22.727675477915547
1283707,23.643683327521273,22.58289815961138,22.41593807195185,22.234182720445084
1284074,23.079681746254778,23.6559244241876,22.775107868323445,21.473267759591867
1284506,21.788359293028712,22.646904877090734,20.876930668719602,22.441663043654227
1284845,23.415395024630598,23.120397851853184,22.050617982756254,22.66393063403335
