CID,TRANSIENT_NAME,RA,DEC
1246927,DES13E2bgjg,9.035090,-43.785267
1246929,DES13E2bfyz,8.631100,-43.780602
1246933,DES13E2bghq,10.125455,-43.713291
1246934,DES13E2bghs,10.239918,-43.812737
1246938,DES13E2btd,8.477769,-44.518158
1246940,DES13E2btu,10.339726,-44.617107
1246941,DES13E2btp,10.354136,-44.537472
1246944,DES13E2btq,10.439229,-44.517223
1246945,DES13E2aak,8.640751,-44.563637
1246946,DES13E2bggs,10.526980,-44.605621
1246951,DES13E2ox,10.450582,-43.647404
1246952,DES13E2bgip,9.527955,-44.218239
1246954,DES13E2fri,8.676439,-43.869534
1246956,DES13E2awgn,9.959152,-44.682255
1246958,DES13E2ais,10.557330,-43.633427
1246961,DES13E2ror,10.041346,-44.721546
1246962,DES13E2ys,10.622652,-43.586525
1246964,DES13E2bgiq,9.738370,-44.184040
1246965,DES13E2bggz,8.841139,-43.921112
1246968,DES13E2bgio,10.774283,-43.511292
1246973,DES13E2bgjy,9.423533,-44.535286
1246974,DES13E2bgjc,9.565531,-44.583859
1246975,DES13E2bgjf,10.270190,-44.782040
1246976,DES13E2bgjd,9.625724,-44.594688
1246978,DES13E2bgii,9.304399,-43.960182
1246980,DES13E2bghm,9.354609,-43.910069
1246983,DES13E2aat,9.392159,-43.960537
1246985,DES13E2bty,9.454332,-43.959259
1246986,DES13E2lou,9.464887,-43.954983
1246990,DES13E2bgig,9.303848,-44.024414
1246993,DES13E2xa,9.385940,-44.012772
1246998,DES13E2awgu,8.989833,-44.589569
1247001,DES13E2akh,9.035273,-44.502209
1247019,DES13E2bgja,9.575302,-44.423637
1247021,DES13E2bgjj,10.407447,-43.419521
1247022,DES13E2ajg,9.673174,-44.390999
1247028,DES13E2ye,10.059093,-43.287918
1247029,DES13E2bts,8.972390,-44.708294
1247030,DES13E2hh,9.559733,-43.195755
1247032,DES13E2yf,10.102966,-43.247509
1247034,DES13E2gg,9.651120,-43.207565
1247035,DES13E2bgji,9.667164,-43.228241
1247037,DES13E1ameu,8.473001,-43.357735
1247043,DES13E2yn,10.034918,-43.633785
1247045,DES13E1ausb,8.557152,-43.433430
1247049,DES13E2bgjb,9.200712,-44.457535
1247053,DES15E2irz,9.917828,-43.303654
1247054,DES13E1ex,8.621912,-43.402725
1247055,DES15E2kpw,9.490899,-44.453754
1247061,DES13E2fqu,8.922627,-43.350510
