CID	FLAG
1246331 1
1246333 1
1246334 3
1247037 1
1247045 1
1247054 1
1247711 0
1248089 1
1248144 1
1248731 5
1248735 1
1248739 0
1249121 3
1249256 1
1249293 1
1249694 1
1249710 1
1249735 0
1249736 1
1249771 1
1249773 1
1249777 5
1249909 1
1249910 1
1249911 0
1249917 1
1249926 5
1249927 1
1249928 5
1249956 1
1249957 1
1250057 5
1246365 1
1246467 5
1246470 1
1246473 1
1246951 1
1246958 1
1246962 1
1246968 1
1247221 1
1247230 1
1247233 1
1247237 1
1247245 1
1247251 1
1247252 1
1247253 1
1247424 5
1247529 1
1247531 1
1247532 1
1247684 0
1247766 1
1247854 1
1247857 1
1248184 1
1248188 1
1248329 0
1248339 0
1246749 1
1246750 1
1246752 5
1246753 1
1246370 3
1246371 5
1246756 1
1246933 1
1246934 0
1247301 1
1247419 1
1247420 1
1248114 0
1248348 1
1248776 1
1248780 1
1249069 1
1249246 1
1249365 1
1249405 1
1249413 1
1249568 1
1249613 1
1247313 1
1247318 1
1247537 1
1247538 1
1247542 1
1247640 0
1247654 7
1247667 3
1247781 0
1247782 1
1247783 0
1247785 0
1247786 1
1247787 0
1247789 5
1248020 1
1248108 1
1248163 5
1248223 5
1248238 5
1248611 1
1247199 1
1247217 1
1247220 1
1247448 1
1247451 1
1247459 1
1247461 5
1247801 1
1247806 0
1247807 0
1248248 1
1248250 1
1248251 1
1248308 1
1248310 5
1248431 1
1248432 1
1248473 1
1248557 1
1248559 5
1248561 5
1248898 5
1248900 5
1248972 5
1248979 1
1247391 1
1247405 1
1247406 1
1247414 1
1247626 1
1247638 0
1247668 1
1247669 0
1247673 1
1247674 0
1247675 0
1247767 5
1247778 1
1248159 1
1248161 1
1248205 1
1248207 1
1248302 5
1248435 5
1248689 1
1248692 1
1248693 1
1248946 1
1248948 1
1247350 5
1247356 1
1247358 1
1247364 1
1247368 1
1247530 1
1247725 1
1247731 7
1247733 0
1247737 0
1247739 0
1247751 1
1247911 1
1247920 1
1247921 1
1247922 5
1247998 1
1248006 1
1248515 1
1248516 5
1248517 1
1248519 1
1248723 1
1248725 1
1248866 1
1248879 1
1248888 1
1249074 5
1249083 1
1249094 5
1247283 1
1247578 1
1247580 1
1247586 1
1247588 1
1247589 1
1247887 1
1247891 1
1248028 1
1248097 5
1248112 1
1248113 1
1248305 5
1248616 5
1248617 0
1248667 1
1248668 1
1248814 1
1248815 1
1248841 1
1248869 1
1248936 1
1248938 1
1249123 1
1249137 1
1249141 1
1249146 5
1247385 1
1247390 7
1247480 1
1247483 1
1247489 1
1247490 1
1247495 1
1247500 1
1247501 1
1247509 5
1247514 1
