CID,peakmag_g,peakmag_r,peakmag_i,peakmag_z,peakmjd_g,peakmjd_r,peakmjd_i,peakmjd_z
1257533,20.97764246808896,20.779350995338724,21.82033792445151,21.46428010391326,56607.069,56615.254,56645.15,56607.212999999996
1257750,22.079714282951173,22.550344066185325,22.37347067367615,22.47382607550902,56642.055,56590.027,56606.041,56590.032
1257911,22.01475528605262,22.250539508491055,22.381131417303415,22.19766076859717,58036.264,57996.372,57991.302,58010.247
1258090,22.391889114978788,22.066451539795494,22.219325578956823,22.219157910636707,56609.069,56616.062000000005,56616.064000000006,56616.066
1258231,24.424069313968953,23.94496251005134,23.104537654623584,22.990418693807257,56642.114,56607.03599999999,56607.038,56615.03
1258406,23.11636793095175,23.713099501202944,24.28576924536478,24.179662846141667,57999.264,58102.043,57999.268,58052.227
1258503,20.90567543505089,23.579935942405182,22.721306957234745,22.176339225544055,58028.21,57998.32,57999.278,58003.227999999996
1258908,22.76669159050377,22.60182397416479,22.586584116188472,22.35109145524683,58036.019,58040.037000000004,58021.065,58025.072
1259106,22.842823794012645,23.02024729997607,22.783209314708806,22.74484311905197,56590.358,56627.145,56625.280999999995,56629.075999999994
1259316,22.72672517341708,23.095349476382736,23.084023657771713,23.042940888809774,56642.055,56642.057,56615.085999999996,56615.087999999996
1259537,24.056506683075284,24.255981669044402,25.063455986737306,24.8005098470691,57701.085999999996,57625.276,57762.062999999995,57687.113
1259651,24.034867877649027,22.923079372175163,23.587861597037012,22.649967077950848,56609.055,56625.198,56628.067,56615.044
1259869,24.07256137660257,24.30660738988246,24.487192176990863,24.348688660394437,56625.224,56627.145,56625.280999999995,56629.075999999994
1260038,23.987915708450153,23.001769270424703,22.169911404181253,22.308398890824144,56631.177,56616.062000000005,56631.182,56631.184
1260210,23.384260313816487,22.71807692237564,22.59729007569939,22.542920413080076,56627.064000000006,56636.152,56646.085999999996,56635.151
1260326,25.06617594723124,24.36393194614833,23.697318317542653,23.68205345299009,56676.070999999996,56627.16099999999,56627.12,56635.151
1260459,25.109566913521775,24.133628603628814,23.513493840274002,23.706515351429758,56676.070999999996,56616.087,56636.10400000001,56640.069
1260677,21.7068793288867,22.0125353914353,22.134679910804405,22.458774670947932,57051.144,57061.06,57066.047,57051.152
1260961,24.093181374312003,23.636082817314964,22.90824050227567,22.95314898528229,56667.045999999995,56615.07,56567.072,56567.075
1261139,24.363025781506977,23.134407295963044,22.671635057161673,22.878295864940124,56559.19,56653.087999999996,56642.087999999996,56645.085
1261259,23.65933006463535,22.696785491031907,22.681497092565188,22.75562995694863,56536.257000000005,56648.209,56649.183,56648.054000000004
1261503,22.01475528605262,21.69533104842303,21.81241301859651,21.880925948302217,56645.092000000004,56645.095,56645.097,56645.099
1261915,23.69519438779125,24.297416581880682,22.815202460642354,22.752364830004574,56645.136,56645.138,56616.077000000005,56629.045
1262132,23.436487342169443,23.89055215269645,23.154773678797255,23.030038927519485,56589.335,56635.115999999995,56635.117999999995,56653.168
1262264,21.401786715835,22.04918343646213,22.65644350611387,21.909538892799624,57316.005999999994,57287.058,57301.037000000004,57287.062999999995
1262515,22.672042071511843,23.562723632062017,22.94359915764327,21.60554390942145,56631.177,56635.043,56631.182,56631.184
1262709,24.459717256712047,27.139732567376694,24.384800396940584,24.447769376951204,56559.181,56576.174000000006,56552.36,56595.115999999995
1262814,24.819926997930196,24.097712164440804,24.597104269484543,24.241469823508144,56653.114,56616.087,56543.385,56595.165
1263108,25.24487032707615,24.95148222995279,24.804855332552034,23.961523154543567,56607.069,56615.254,56675.175,56667.153
1263318,23.401283776828535,23.179826072101097,23.057611761586198,22.967115444032686,56656.047,56656.049000000006,56656.051,56687.06
1263577,23.259567886892142,23.336680857841454,23.529292714256876,22.733946886116826,56551.26,56567.084,56642.059,56567.08900000001
1263787,22.336610996775086,22.362127775276512,22.90631300046735,22.96679829698889,56653.062000000005,56655.05,56656.060999999994,56660.14
1263901,23.74413707525507,23.652184241636522,23.196215394789945,23.131276269353318,56552.27099999999,56667.117999999995,56675.10400000001,56675.107
1264083,23.94122997413627,23.079107836078876,22.94618342725869,22.661508972852904,56669.044,56676.06,56669.047999999995,56536.252
1264539,24.964644096137484,24.098658463541764,23.812202772180832,23.867698589002323,56559.181,56595.237,56661.17,56682.109000000004
1264727,24.117133634465052,23.934535436888723,23.188573095154293,22.65293793766525,56614.073,56551.247,56642.087999999996,56675.107
1265135,24.400500453882252,23.641164613674654,24.112904861038402,23.576828644055976,56932.16099999999,56943.355,56987.233,57012.244000000006
1265353,24.21164880843178,23.105125169101512,23.08303871125535,23.167087116445764,56676.070999999996,56676.117999999995,56685.039000000004,56684.039000000004
1265521,23.440275202381898,23.464471245894465,23.68253732860001,23.75805629990247,56676.070999999996,56676.117999999995,56683.085999999996,56595.165
1265818,22.62277409073389,22.66615524507074,22.559354376857385,22.304401865475835,56676.081,56683.109000000004,56682.155999999995,56688.096
1266041,24.053914394844803,24.294578054238396,22.91536395873706,23.121205634087705,56635.04,56550.249,56631.182,56534.29
1266303,22.46181023329531,22.960176107558205,22.75524531432943,22.874548871971086,57800.095,57800.06,57791.075999999994,57782.123
1266512,22.350996800593116,23.294434175764557,23.335414556292793,23.326126724872825,57627.35,57627.352,57623.212999999996,57681.008
1266734,-99.9999,-99.9999,-99.9999,-99.9999,-99.9999,-99.9999,-99.9999,-99.9999
1266965,22.865055201876572,22.715319731269215,22.781055201207558,23.10315540728266,56692.045,56698.049000000006,56692.049000000006,56692.052
1267220,25.20382324486557,23.23101069479795,24.14300602135158,23.90629743396078,56667.144,56595.237,56697.08900000001,56595.115999999995
1267450,24.437373259654876,24.570683865866922,24.294011238143685,24.427716485013278,57034.16099999999,57025.14,57018.209,56990.257000000005
1267800,22.7592495167982,22.75424313635247,22.644992275928892,22.462963877282366,57349.299000000006,57315.263,57250.395,57250.398
1272954,23.144994964005143,22.838529492470588,23.00691773321013,22.447233578919693,56697.051,56697.054000000004,56551.264,56567.08900000001
1273034,22.401663028154786,22.867656935046256,22.97569679368814,22.8314638749593,58086.047,58099.102999999996,58133.052,58085.106
1273153,22.694289514749617,22.30313316431598,20.43576951052381,23.872646052319134,57673.232,57789.035,57751.047,57714.3
1273239,20.559536890686203,22.16129377166072,21.985838981570783,22.003013749561003,57642.142,57686.009000000005,57638.098,57653.060999999994
1273313,23.562492501416173,23.171350431340358,23.40053696753295,23.320125030412747,56563.037000000004,56567.084,56563.041,56635.10400000001
1273430,22.703299392590253,23.16098279255187,22.23707643000167,22.71956446900065,57365.107,57355.212,57385.069,57389.115999999995
1273654,23.729315549611606,23.57294240118697,22.33698467986422,21.761962190334252,58026.149000000005,58004.318,57999.23,58025.163
1273795,21.96753453815833,22.676324959556275,21.847676041175188,21.633579719713328,58026.320999999996,58028.166,58026.325,58026.33
1274014,23.580112093431165,22.961902634508697,23.037672611707823,23.60457908532526,56591.09,56543.212,56536.198,56591.097
1274152,23.726892856483076,23.781765104983897,22.464328856975893,22.63504905819703,56653.047,56575.125,56697.07,56635.075
1274248,24.962649125517657,23.99262792663899,22.720668163606927,21.50380449945061,56675.1,56615.098,56559.195,56590.348
1274339,24.02584465622425,24.439185409201286,23.810531570063397,23.791566734777433,56606.03599999999,56547.083,56534.15900000001,56675.078
1274518,22.46569555487234,21.87547597649549,-99.9999,21.88246177367042,57290.062000000005,57305.066,-99.9999,57248.38
1274647,23.683796415343622,23.80723305501087,23.598918190483577,23.052217822294402,56567.206,56558.234000000004,56590.332,56615.044
1274740,24.05327863812972,23.947183503138003,23.524512129215324,23.481952384838984,56614.073,56543.312000000005,56606.113,56543.317
1274859,22.68000950138766,22.881268861718784,22.66236602692234,22.559079193430556,57681.15,57714.263,57708.236,57770.155
1275109,23.285936714579773,22.214223307828938,22.120656297403706,22.19053417846157,57782.067,57778.064000000006,57782.072,57778.068
1275316,23.259567886892142,23.073146040618063,23.318647084015048,23.580787603906987,56615.096,56590.343,56606.113,56642.09099999999
1275422,21.190373807534627,25.730691426349516,22.68002231674391,23.640885116916884,56579.112,56615.055,56591.095,56628.097
1275471,21.30070191140107,23.45718448665222,22.26653334999657,23.438006052598098,57763.078,57653.294,57645.209,57625.255
1275523,22.678715928947867,22.944154747122482,22.582218681181423,24.71072415496905,57728.045,57653.294,57687.095,57642.302
1275692,21.126939915987904,19.768110691007305,19.206565592743672,19.251940191583543,57718.042,57682.019,57686.025,57642.149000000005
1275915,21.983744856028288,22.07706345061564,23.28153436562012,23.621314010365133,57761.054000000004,57680.128,57680.13,57681.157
1276336,-99.9999,-99.9999,-99.9999,-99.9999,-99.9999,-99.9999,-99.9999,-99.9999
1276684,21.824234772117716,20.78622785371296,20.898274783233376,-99.9999,57645.246,57695.081,57751.047,-99.9999
1276943,20.799750711358183,22.606328986149776,22.49924025053797,-99.9999,57714.183,57708.094000000005,57645.209,-99.9999
1277257,23.052922218369673,24.29242572551535,23.248175824442406,23.986121879294227,56551.26,56558.054000000004,56558.056,56575.035
1277621,24.19326327423281,23.797612430654205,22.885612028714547,23.26524314733485,56667.075,56558.310999999994,56558.312999999995,56558.316
1278429,22.88941300525675,23.018530554461712,23.0004429225167,23.0371738976052,58082.187000000005,58094.097,58092.079000000005,58028.200999999994
1278929,24.54954189537943,23.076261286575004,22.364904473287826,23.132714253547768,56558.309,56558.310999999994,56563.15900000001,56653.054000000004
1279196,23.371708028599528,23.34051219445148,23.476067331378335,23.736311057257378,56552.27099999999,56667.117999999995,56675.10400000001,56682.087999999996
1279946,22.808315396686005,23.571368490008105,23.51875312750305,23.602868720753857,57625.3,57715.113,57625.305,57686.155
1280123,23.816574576778013,23.345373672745193,23.13503068891707,23.194732035797493,56552.27099999999,56551.247,56590.345,56653.093
1280491,23.421796536045274,24.538626296698258,23.333120218970457,23.052578993964072,56631.177,56682.041,56645.054000000004,56606.074
1280682,23.494008902013192,23.711805990580103,22.30658023678961,23.801025737880014,56579.125,56591.079000000005,56615.027,56642.121
1280938,23.282739326079557,22.670643598437344,22.768511442927753,23.28162357610493,58109.056,58008.199,58129.060999999994,58008.204000000005
1281321,24.196470005064988,25.285184150496423,23.25227102557554,23.264979544483694,56579.125,56698.032999999996,56579.13,56615.03
1281952,23.23465700629232,23.259327508136167,22.671215483357706,22.04961360136663,56642.055,56520.238,56642.059,56642.047999999995
1282383,23.74653014698596,24.296393856822817,23.58724077934621,22.05594234592161,56616.059,56675.045,56590.301,56631.184
1282626,24.589489751689918,23.28146746256654,23.327847605955164,22.604498437884775,56551.26,56615.084,56609.044,56590.032
1283111,22.32361246041242,22.59073107534269,22.946904193625066,22.727675477915547,57999.264,58057.082,58057.084,58004.335999999996
1283707,24.65440119133703,24.046445105081624,22.836026139697413,23.867622061340285,56697.066,56667.077000000005,56615.057,56653.054000000004
1284074,23.087170316670544,24.029969141589525,23.631086238268477,22.823668368121513,58122.114,58039.203,58102.059,57991.28
